id,emp_id,leave_type,leave_start,leave_ends,notes
1,1,11,2023-05-10,2023-05-12,
2,1,11,2023-06-28,2023-07-03,
3,1,11,2024-01-07,2024-01-17,
4,2,12,2024-01-16,2024-01-22,
5,2,13,2023-05-21,2023-05-26,
6,2,14,2024-01-23,2024-01-30,
7,3,15,2024-03-31,2024-04-01,
8,3,12,2023-07-03,2023-07-17,
9,3,13,2024-03-25,2024-03-28,
10,4,14,2023-05-09,2023-05-13,
11,4,15,2023-08-11,2023-08-13,
12,4,12,2024-04-06,2024-04-11,
13,5,13,2023-11-19,2023-11-29,
14,5,14,2023-07-30,2023-08-05,
15,5,15,2024-04-11,2024-04-16,
16,6,11,2023-09-01,2023-09-08,
17,6,11,2023-12-28,2023-12-29,
18,6,11,2024-03-15,2024-03-29,
19,7,14,2024-02-13,2024-02-16,
20,7,15,2023-05-05,2023-05-09,
21,7,12,2024-01-13,2024-01-15,
22,8,13,2023-06-30,2023-07-05,
23,8,14,2023-09-02,2023-09-12,
24,8,11,2024-02-26,2024-03-03,
25,9,11,2024-02-26,2024-03-02,
26,9,11,2023-09-23,2023-09-30,
27,9,14,2024-01-16,2024-01-17,
28,10,15,2023-06-07,2023-06-21,
29,10,12,2023-09-20,2023-09-23,
30,10,13,2024-02-11,2024-02-15,
31,11,14,2024-03-02,2024-03-04,
32,11,11,2023-07-19,2023-07-24,
33,11,11,2024-03-13,2024-03-23,
34,12,11,2024-01-27,2024-02-02,
35,12,12,2024-01-19,2024-01-24,
36,12,13,2024-01-25,2024-02-01,
37,13,14,2023-09-29,2023-09-30,
38,13,15,2024-01-28,2024-02-11,
39,13,12,2024-02-05,2024-02-08,
40,14,13,2023-06-10,2023-06-14,
41,14,14,2023-07-11,2023-07-13,
42,14,15,2024-02-12,2024-02-17,
43,15,12,2023-09-25,2023-10-05,
44,15,13,2023-07-18,2023-07-24,
45,15,14,2024-01-07,2024-01-12,
46,16,15,2023-08-03,2023-08-10,
47,16,11,2023-12-30,2023-12-31,
48,16,11,2024-03-24,2024-04-07,
49,17,11,2023-12-19,2023-12-22,
50,17,14,2024-04-03,2024-04-07,
51,17,15,2024-01-30,2024-02-01,
52,18,12,2024-02-17,2024-02-22,
53,18,13,2023-12-19,2023-12-29,
54,18,14,2024-02-01,2024-02-07,
55,19,11,2023-10-28,2023-11-02,
56,19,11,2023-10-01,2023-10-08,
57,19,11,2024-02-22,2024-02-23,
58,20,14,2024-01-15,2024-01-29,
59,20,15,2024-03-30,2024-04-02,
60,20,12,2024-03-11,2024-03-15,
61,21,13,2023-11-02,2023-11-04,
62,21,14,2023-08-30,2023-09-04,
63,21,11,2024-03-10,2024-03-20,
64,22,11,2023-11-24,2023-11-30,
65,22,11,2023-08-28,2023-09-02,
66,22,12,2024-02-28,2024-03-06,
67,23,13,2023-06-29,2023-06-30,
68,23,14,2023-12-27,2024-01-10,
69,23,15,2024-03-30,2024-04-02,
70,24,12,2023-08-05,2023-08-09,
71,24,13,2023-12-23,2023-12-25,
72,24,14,2024-02-02,2024-02-07,
73,25,15,2023-12-20,2023-12-30,
74,25,12,2023-05-24,2023-05-30,
75,25,13,2024-01-11,2024-01-16,
76,26,14,2023-06-17,2023-06-24,
77,26,15,2024-01-07,2024-01-08,
78,26,11,2024-01-25,2024-02-08,
79,27,11,2024-02-19,2024-02-22,
80,27,11,2023-10-21,2023-10-25,
81,27,14,2024-01-06,2024-01-08,
82,28,15,2023-05-11,2023-05-16,
83,28,12,2023-12-10,2023-12-20,
84,28,13,2024-01-21,2024-01-27,
85,29,14,2023-05-18,2023-05-23,
86,29,11,2023-08-15,2023-08-22,
87,29,11,2024-03-07,2024-03-08,
88,30,11,2023-06-28,2023-07-12,
89,30,14,2023-07-27,2023-07-30,
90,30,15,2024-01-18,2024-01-22,
91,31,12,2024-01-08,2024-01-10,
92,31,13,2023-11-04,2023-11-09,
93,31,14,2024-02-04,2024-02-14,
94,32,11,2024-01-08,2024-01-14,
95,32,11,2024-02-11,2024-02-16,
96,32,11,2024-01-14,2024-01-21,
97,33,12,2023-10-25,2023-10-26,
98,33,13,2024-02-22,2024-03-07,
99,33,14,2024-03-07,2024-03-10,
100,34,15,2024-03-14,2024-03-18,
101,34,12,2023-07-09,2023-07-11,
102,34,13,2024-04-06,2024-04-11,
103,35,14,2024-01-13,2024-01-23,
104,35,15,2023-05-21,2023-05-27,
105,35,12,2024-01-05,2024-01-10,
106,36,13,2024-01-26,2024-02-02,
107,36,14,2024-03-27,2024-03-28,
108,36,15,2024-01-17,2024-01-31,
109,37,11,2023-09-28,2023-10-01,
110,37,11,2023-11-09,2023-11-13,
111,37,11,2024-02-16,2024-02-18,
112,38,14,2023-08-29,2023-09-03,
113,38,15,2023-08-03,2023-08-13,
114,38,12,2024-03-19,2024-03-25,
115,39,13,2024-02-07,2024-02-12,
116,39,14,2023-07-23,2023-07-30,
117,39,11,2024-03-04,2024-03-05,
118,40,11,2024-02-07,2024-02-21,
119,40,11,2023-06-17,2023-06-20,
120,40,14,2024-01-05,2024-01-09,
121,41,15,2023-10-11,2023-10-13,
122,41,12,2023-12-17,2023-12-22,
123,41,13,2024-01-19,2024-01-29,
124,42,14,2023-09-30,2023-10-06,
125,42,11,2023-08-05,2023-08-10,
126,42,11,2024-03-25,2024-04-01,
127,43,11,2023-12-25,2023-12-26,
128,43,12,2024-03-30,2024-04-13,
129,43,13,2024-02-12,2024-02-15,
130,44,14,2023-11-07,2023-11-11,
131,44,15,2023-10-23,2023-10-25,
132,44,12,2024-02-08,2024-02-13,
133,45,13,2023-08-03,2023-08-13,
134,45,14,2024-02-02,2024-02-08,
135,45,15,2024-03-18,2024-03-23,
136,46,12,2023-11-13,2023-11-20,
137,46,13,2023-06-20,2023-06-21,
138,46,14,2024-01-09,2024-01-23,
139,47,15,2023-04-15,2023-04-18,
140,47,11,2023-10-23,2023-10-27,
141,47,11,2024-03-31,2024-04-02,
142,48,11,2024-03-27,2024-04-01,
143,48,14,2023-10-20,2023-10-30,
144,48,15,2024-01-10,2024-01-16,
145,49,12,2024-04-01,2024-04-06,
146,49,13,2023-09-01,2023-09-08,
147,49,14,2024-03-03,2024-03-04,
148,50,11,2023-05-31,2023-06-14,
149,50,11,2024-03-12,2024-03-15,
150,50,11,2024-03-10,2024-03-14,
